
 
---------- Probe ---------
 
N1 = 77.0
N2 = 47.0
A = 6.66E-7
LM = 0.02163
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.020000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 15/10/2018 11:56
 
---------- Misc ----------
 
Hc = 1851.2213204556667 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000107	-3.051758E-5	-3.670815394411852	-9.140064E-7	3.810593E-6	2.7059784890682715E-8	4.753429986871418E-6	-0.06414754008788046	-0.06415271950947929
2.500000E-6	-0.000107	1.525879E-5	-3.670815394411852	-9.140064E-7	3.810593E-6	9.681259697813654E-7	5.696266973742837E-6	-0.06414659902169556	-0.06415177667249242
3.750000E-6	-0.000122	-3.051758E-5	-4.207917394411852	-1.015563E-6	4.383980E-6	1.8076355546720477E-6	7.212490960614256E-6	-0.06414575951211067	-0.06415026044850555
5.000000E-6	-0.000122	9.155273E-5	-4.207917394411852	2.843576E-6	8.243118E-6	6.607840739562731E-6	1.2014465947485674E-5	-0.06414095930692577	-0.06414545847351869
6.250000E-6	-9.155273E-5	0.000244	-3.1337123944118517	1.350698E-5	1.755664E-5	1.8212310924453415E-5	2.2270824934357093E-5	-0.06412935483674088	-0.0641352021145318
7.500000E-6	-3.051758E-5	0.000534	-0.9853033944118517	3.503691E-5	3.638680E-5	4.068330710934409E-5	4.204382192122851E-5	-0.064106883840556	-0.06411542911754493
8.750000E-6	-3.051758E-5	0.000854	-0.9853033944118517	6.926138E-5	7.061126E-5	7.584884329423477E-5	7.721111890809992E-5	-0.06407171830437111	-0.06408026182055807
1.000000E-5	1.525879E-5	0.001190	0.6260036055881484	0.000118	0.000117	1.2552852947912547E-4	1.2454269589497134E-4	-0.06402203861818621	-0.06403293024357119
1.125000E-5	6.103516E-5	0.001709	2.2373116055881486	0.000186	0.000183	1.9446959566401614E-4	1.9148553288184276E-4	-0.06395309755200132	-0.06396598740658432
1.250000E-5	0.000259	0.002136	9.219642605588149	0.000271	0.000260	2.804106618489068E-4	2.6942836986871416E-4	-0.06386715648581644	-0.06388804456959746
1.375000E-5	0.000275	0.002625	9.756744605588148	0.000376	0.000364	3.863517280337975E-4	3.7437120685558564E-4	-0.06376121541963155	-0.06378310173261058
1.500000E-5	0.000305	0.003128	10.830949605588149	0.000501	0.000487	5.122927942186882E-4	4.98314043842457E-4	-0.06363527435344665	-0.06365915889562371
1.625000E-5	0.000488	0.003586	17.27617860558815	0.000644	0.000622	6.562338604035789E-4	6.342568808293285E-4	-0.06349133328726177	-0.06352321605863684
1.750000E-5	0.000671	0.004044	23.721406605588147	0.000806	0.000777	8.191749265884696E-4	7.901997178161999E-4	-0.06332839222107688	-0.06336727322164996
1.875000E-5	0.000671	0.004623	23.721406605588147	0.000991	0.000961	0.00100511599277336	9.751425548030713E-4	-0.06314245115489198	-0.06318233038466309
2.000000E-5	0.000885	0.005219	31.240840605588147	0.001199	0.001159	0.001214057058958251	0.0011740853917899428	-0.0629335100887071	-0.06298338754767623
2.125000E-5	0.001114	0.005676	39.29737660558815	0.001425	0.001376	0.0014409981251431417	0.0013920282287768141	-0.0627065690225222	-0.06276544471068934
2.250000E-5	0.001144	0.006104	40.37158160558815	0.001669	0.001618	0.0016859391913280322	0.0016349710657636856	-0.06246162795633731	-0.06252250187370248
2.375000E-5	0.001282	0.006577	45.20550260558815	0.001932	0.001875	0.0019498802575129229	0.0018929139027505568	-0.06219768689015242	-0.06226455903671561
2.500000E-5	0.001556	0.007111	54.87334560558815	0.002215	0.002146	0.0022338213236978138	0.002164856739737428	-0.061913745823967525	-0.061992616199728734
2.625000E-5	0.001663	0.007492	58.63306260558815	0.002515	0.002442	0.002534762389882704	0.0024617995767243	-0.061612804757782635	-0.061695673362741864
2.750000E-5	0.001801	0.008011	63.466984605588145	0.002834	0.002754	0.0028547034560675952	0.002774742413711171	-0.06129286369159775	-0.06138273052575499
2.875000E-5	0.002014	0.008377	70.98641760558814	0.003169	0.003080	0.0031906445222524855	0.0031016852506980425	-0.06095692262541286	-0.06105578768876812
3.000000E-5	0.002213	0.008820	77.96874960558814	0.003522	0.003424	0.0035445855884373764	0.003446628087684914	-0.06060298155922796	-0.06071084485178125
3.125000E-5	0.002380	0.009323	83.87687560558815	0.003893	0.003788	0.003916526654622267	0.0038115709246717856	-0.06023104049304307	-0.06034590201479438
3.250000E-5	0.002594	0.009674	91.39630860558815	0.004279	0.004165	0.004303467720807158	0.004189513761658657	-0.059844099426858186	-0.059967959177807506
3.375000E-5	0.002762	0.010040	97.30443560558815	0.004681	0.004559	0.004706408786992048	0.004584456598645528	-0.05944115836067329	-0.059573016340820635
3.500000E-5	0.002960	0.010468	104.28676660558814	0.005098	0.004967	0.005124349853176939	0.0049933994356324	-0.0590232172944884	-0.059164073503833764
3.625000E-5	0.003174	0.010773	111.80620060558815	0.005528	0.005388	0.00555529091936183	0.005415342272619272	-0.058592276228303514	-0.058742130666846894
3.750000E-5	0.003403	0.011063	119.86273660558815	0.005970	0.005820	0.00599823198554672	0.005848285109606142	-0.05814933516211862	-0.058309187829860026
3.875000E-5	0.003540	0.011414	124.69665760558814	0.006426	0.006270	0.006455173051731612	0.006299227946593014	-0.05769239409593373	-0.05785824499287315
4.000000E-5	0.003693	0.011841	130.06768160558815	0.006898	0.006735	0.006928114117916501	0.006765170783579885	-0.05721945302974884	-0.05739230215588628
4.125000E-5	0.003998	0.012100	140.80972960558816	0.007382	0.007205	0.007413055184101392	0.007236113620566757	-0.05673451196356395	-0.05692135931889941
4.250000E-5	0.004196	0.012375	147.79206060558815	0.007875	0.007690	0.007906996250286282	0.007722056457553628	-0.05624057089737906	-0.05643541648191254
4.375000E-5	0.004303	0.012619	151.55177760558814	0.008380	0.008190	0.008412937316471174	0.0082229992945405	-0.05573462983119416	-0.05593447364492567
4.500000E-5	0.004547	0.012970	160.14541560558814	0.008898	0.008697	0.008931878382656064	0.00873094213152737	-0.05521568876500928	-0.055426530807938794
4.625000E-5	0.004791	0.013290	168.73905460558814	0.009428	0.009216	0.009462819448840957	0.009250884968514242	-0.054684747698824386	-0.05490658797095192
4.750000E-5	0.004944	0.013519	174.11007860558814	0.009969	0.009750	0.010004760515025846	0.009785827805501114	-0.0541428066326395	-0.05437164513396505
4.875000E-5	0.005142	0.013855	181.09240960558816	0.010521	0.010294	0.010557701581210737	0.010330770642487984	-0.053589865566454606	-0.05382670229697818
5.000000E-5	0.005386	0.014069	189.68604760558816	0.011083	0.010845	0.011120642647395628	0.010882713479474858	-0.05302692450026971	-0.05327475945999131
5.125000E-5	0.005600	0.014313	197.20548160558815	0.011655	0.011407	0.011693583713580518	0.011445656316461729	-0.05245398343408482	-0.052711816623004434
5.250000E-5	0.005737	0.014557	202.03940260558815	0.012236	0.011982	0.01227552477976541	0.012021599153448598	-0.05187204236789993	-0.05213587378601757
5.375000E-5	0.005966	0.014771	210.09593860558815	0.012825	0.012561	0.012865465845950299	0.01260154199043547	-0.05128210130171504	-0.051555930949030694
5.500000E-5	0.006256	0.014923	220.30088460558815	0.013422	0.013145	0.01346340691213519	0.013186484827422343	-0.05068416023553015	-0.05097098811204382
5.625000E-5	0.006439	0.015152	226.74611360558814	0.014027	0.013742	0.01406934797832008	0.013784427664409215	-0.05007821916934526	-0.05037304527505695
5.750000E-5	0.006668	0.015411	234.80264860558816	0.014642	0.014347	0.014685289044504972	0.014390370501396086	-0.04946227810316037	-0.04976710243807008
5.875000E-5	0.006805	0.015625	239.63657060558816	0.015266	0.014965	0.015310230110689863	0.015009313338382955	-0.04883733703697548	-0.04914815960108321
6.000000E-5	0.007050	0.015884	248.23020860558816	0.015901	0.015589	0.01594617117687475	0.01563425617536983	-0.048201395970790595	-0.048523216764096336
6.125000E-5	0.007263	0.016144	255.74964260558815	0.016544	0.016223	0.016590112243059642	0.0162691990123567	-0.047557454904605695	-0.04788827392710947
6.250000E-5	0.007492	0.016281	263.8061786055882	0.017195	0.016864	0.017242053309244533	0.016911141849343572	-0.04690551383842081	-0.04724633109012259
6.375000E-5	0.007675	0.016464	270.25140760558816	0.017853	0.017513	0.017900994375429427	0.01756108468633044	-0.046246572772235914	-0.04659638825313572
6.500000E-5	0.007843	0.016724	276.15953360558814	0.018520	0.018173	0.018568935441614313	0.018222027523317315	-0.04557863170605103	-0.04593544541614885
6.625000E-5	0.008133	0.016861	286.36447960558814	0.019194	0.018834	0.019243876507799205	0.018883970360304186	-0.044903690639866135	-0.045273502579161976
6.750000E-5	0.008377	0.017136	294.95811760558814	0.019878	0.019507	0.019928817573984098	0.019557913197291058	-0.04421874957368124	-0.04459955974217511
6.875000E-5	0.008438	0.017334	297.10652760558816	0.020571	0.020198	0.020622758640168985	0.020249856034277928	-0.043524808507496356	-0.04390761690518824
7.000000E-5	0.008774	0.017654	308.9227796055882	0.021275	0.020887	0.021327699706353877	0.0209397988712648	-0.042819867441311464	-0.043217674068201366
7.125000E-5	0.008987	0.017776	316.44221360558817	0.021984	0.021587	0.02203764077253877	0.02164074170825167	-0.042109926375126575	-0.042516731231214494
7.250000E-5	0.009186	0.017853	323.42454460558815	0.022698	0.022292	0.022752581838723657	0.02234668454523854	-0.04139498530894169	-0.041810788394227624
7.375000E-5	0.009354	0.018082	329.33267060558813	0.023421	0.023007	0.02347652290490855	0.023062627382225413	-0.04067104424275679	-0.04109484555724075
7.500000E-5	0.009705	0.018372	341.68602560558816	0.024154	0.023724	0.02421046397109344	0.023780570219212285	-0.0399371031765719	-0.04037690272025388
7.625000E-5	0.009827	0.018570	345.9828456055881	0.024895	0.024461	0.024952405037278334	0.024518513056199155	-0.03919516211038701	-0.03963895988326701
7.750000E-5	0.010040	0.018768	353.5022786055882	0.025645	0.025201	0.025703346103463223	0.02525945589318603	-0.038444221044202115	-0.03889801704628014
7.875000E-5	0.010239	0.019073	360.48460960558816	0.026406	0.025953	0.026465287169648112	0.0260123987301729	-0.03768227997801723	-0.038145074209293264
8.000000E-5	0.010483	0.019196	369.07824860558816	0.027173	0.026710	0.027233228235833004	0.026770341567159774	-0.03691433891183234	-0.03738713137230639
8.125000E-5	0.010620	0.019470	373.91216960558813	0.027951	0.027481	0.028012169302017893	0.02754228440414664	-0.03613539784564745	-0.036615188535319525
