
 
---------- Probe ---------
 
N1 = 77.0
N2 = 47.0
A = 6.66E-7
LM = 0.02163
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.020000
f = 100.000000
Fs = 800000.000000
waves = 2.0
date = 15/10/2018 11:55
 
---------- Misc ----------
 
Hc = 1623.062465504045 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000198	-0.000122	-5.241075159496587	-1.035874E-5	-1.584484E-6	-5.323631684704182E-6	3.450553487974991E-6	-0.05866269571379157	-0.05865535389013884
2.500000E-6	-0.000198	-0.000183	-5.241075159496587	-1.706145E-5	-8.287197E-6	-6.991233369408362E-6	1.7828779759499828E-6	-0.05866436331547627	-0.05865702156565086
3.750000E-6	-1.525879E-5	-0.000153	1.2041538405034133	-2.254549E-5	-2.187055E-5	-7.440165054112542E-6	-6.765437536075029E-6	-0.058664812247160976	-0.058665569881162886
5.000000E-6	-0.000122	-3.051758E-5	-2.555563159496587	-2.376417E-5	-1.836463E-5	-3.623736738816725E-6	1.7755199518999651E-6	-0.05866099581884568	-0.058657028923674914
6.250000E-6	-0.000153	9.155273E-5	-3.629768159496587	-1.929569E-5	-1.254626E-5	5.8798515764790945E-6	1.2628927439874954E-5	-0.058651492230530386	-0.058646175516186935
7.500000E-6	-1.525879E-5	0.000336	1.2041538405034133	-6.296489E-6	-5.621546E-6	2.3914160891774914E-5	2.4588678927849943E-5	-0.05863345792121509	-0.05863421576469896
8.750000E-6	-1.525879E-5	0.000519	1.2041538405034133	1.482722E-5	1.550216E-5	5.007297820707073E-5	5.074742241582493E-5	-0.05860729910389979	-0.05860805702121098
1.000000E-5	-4.577637E-5	0.000763	0.12994884050341327	4.590343E-5	4.792826E-5	8.618429652236656E-5	8.820855990379993E-5	-0.0585711877855845	-0.05857059588372301
1.125000E-5	7.629395E-5	0.001099	4.426767840503413	8.936952E-5	8.599480E-5	1.3468549483766238E-4	1.3131013739177492E-4	-0.0585226865872692	-0.05852749430623504
1.250000E-5	0.000122	0.001373	6.0380748405034135	0.000145	0.000140	1.953510831529582E-4	1.903503748797499E-4	-0.0584620209989539	-0.05846845406874706
1.375000E-5	0.000122	0.001801	6.0380748405034135	0.000216	0.000210	2.71386191468254E-4	2.653854123677249E-4	-0.058385985890638606	-0.05839341903125909
1.500000E-5	0.000244	0.002014	10.334893840503414	0.000297	0.000286	3.5742129978354984E-4	3.464204498556999E-4	-0.05829995078232331	-0.05831238399377111
1.625000E-5	0.000351	0.002350	14.094610840503414	0.000391	0.000375	4.564564080988457E-4	4.404554873436749E-4	-0.058200915674008015	-0.05821834895628314
1.750000E-5	0.000366	0.002716	14.631713840503414	0.000499	0.000483	5.694915164141415E-4	5.534905248316498E-4	-0.05808788056569272	-0.058105313918795164
1.875000E-5	0.000427	0.003052	16.780122840503413	0.000621	0.000602	6.965266247294373E-4	6.775255623196249E-4	-0.057960845457377425	-0.057981278881307184
2.000000E-5	0.000565	0.003357	21.614044840503414	0.000756	0.000731	8.365617330447332E-4	8.115605998075999E-4	-0.05782081034906213	-0.05784724384381921
2.125000E-5	0.000687	0.003754	25.910863840503414	0.000904	0.000874	9.895968413600289E-4	9.595956372955749E-4	-0.05766777524074684	-0.05769920880633123
2.250000E-5	0.000702	0.003998	26.447965840503414	0.001065	0.001034	0.0011556319496753248	0.0011246306747835497	-0.05750174013243154	-0.05753417376884326
2.375000E-5	0.000870	0.004364	32.356092840503415	0.001238	0.001199	0.0013336670579906205	0.0012946657122715247	-0.05732370502411624	-0.057364138731355284
2.500000E-5	0.001038	0.004547	38.26421884050341	0.001420	0.001374	0.0015207021663059164	0.0014747007497594997	-0.05713666991580094	-0.05718410369386731
2.625000E-5	0.001053	0.004822	38.801320840503415	0.001613	0.001567	0.0017187372746212122	0.0016727357872474747	-0.05693863480748565	-0.056986068656379334
2.750000E-5	0.001205	0.005157	44.17234484050341	0.001819	0.001765	0.0019297723829365082	0.0018757708247354498	-0.05672759969917036	-0.05678303361889136
2.875000E-5	0.001389	0.005432	50.61757384050341	0.002035	0.001974	0.002150807491251804	0.0020898058622234247	-0.05650656459085506	-0.056568998581403386
