
 
---------- Probe ---------
 
N1 = 73.0
N2 = 49.0
A = 7.36E-7
LM = 0.02182
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.480000
f = 100.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:05
 
---------- Misc ----------
 
Hc = 2555.3156735904813 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000153	6.103516E-6	-4.728987851997053	-1.234051E-6	5.109039E-6	-1.0152871712361716E-6	5.327746341269841E-6	-0.007808301149605191	-0.007800680233023879
2.500000E-6	-7.629395E-5	0.000000	-2.205151851997053	-9.872405E-7	2.184304E-6	-5.497128424723431E-7	2.621718682539683E-6	-0.007807835575276427	-0.007803386260682608
3.750000E-6	-0.000168	3.662109E-5	-5.233754851997054	-1.057758E-7	6.871623E-6	5.505156862914853E-7	7.527745023809524E-6	-0.007806735346747663	-0.007798480234341339
5.000000E-6	-0.000153	6.103516E-6	-4.728987851997053	3.878445E-7	6.730934E-6	1.2628998150553139E-6	7.605763365079365E-6	-0.0078060229626189	-0.007798402216000069
6.250000E-6	-0.000122	2.441406E-5	-3.719452851997053	1.445602E-6	6.520074E-6	2.5394211438191426E-6	7.613610706349207E-6	-0.007804746441290136	-0.007798394368658799
7.500000E-6	-0.000107	7.934570E-5	-3.214685851997053	4.372065E-6	8.812228E-6	5.684647972582971E-6	1.0124472047619048E-5	-0.007801601214461371	-0.007795883507317529
8.750000E-6	0.000000	0.000165	0.31868314800294684	9.625595E-6	9.625595E-6	1.11569418013468E-5	1.1156546388888889E-5	-0.007796128920632608	-0.007794851432976259
1.000000E-5	-9.155273E-5	0.000171	-2.709918851997053	1.618369E-5	1.998955E-5	1.793380063011063E-5	2.173920873015873E-5	-0.007789352061803844	-0.007784268770634989
1.125000E-5	4.577637E-5	0.000287	1.8329841480029467	2.612661E-5	2.422369E-5	2.8095484458874456E-5	2.619205607142857E-5	-0.00777919037797508	-0.00777981592329372
1.250000E-5	-1.525879E-5	0.000403	-0.18608385199705313	3.987746E-5	4.051177E-5	4.206509828763829E-5	4.269884341269841E-5	-0.007765220764146316	-0.00776330913595245
1.375000E-5	0.000153	0.000482	5.366354148002947	5.687210E-5	5.052901E-5	5.927850211640211E-5	5.293479075396825E-5	-0.007748007360317553	-0.00775307318861118
1.500000E-5	0.000198	0.000610	6.880655148002947	7.823881E-5	6.999279E-5	8.086397594516594E-5	7.26172780952381E-5	-0.0077264218864887884	-0.00773339070126991
1.625000E-5	0.000366	0.000775	12.433092148002947	0.000105	8.942408E-5	1.0784392977392977E-4	9.226727543650793E-5	-0.007699441932660025	-0.00771374070392864
1.750000E-5	0.000305	0.000861	10.414024148002946	0.000135	0.000122	1.380626936026936E-4	1.250619027777778E-4	-0.007669223168831261	-0.00768094607658737
1.875000E-5	0.000488	0.000964	16.471229148002948	0.000169	0.000148	1.7228145743145742E-4	1.5128061011904762E-4	-0.007635004405002498	-0.007654727369246101
2.000000E-5	0.000656	0.001178	22.023666148002945	0.000209	0.000182	2.1250022126022126E-4	1.8549931746031747E-4	-0.007594785641173734	-0.007620508661904831
2.125000E-5	0.000702	0.001288	23.537967148002945	0.000253	0.000224	2.567189850889851E-4	2.277180248015873E-4	-0.00755056687734497	-0.007578289954563561
2.250000E-5	0.000793	0.001373	26.566570148002945	0.000302	0.000269	3.0593774891774894E-4	2.7293673214285713E-4	-0.007501348113516206	-0.007533071247222291
2.375000E-5	0.000946	0.001575	31.614240148002946	0.000356	0.000317	3.601565127465127E-4	3.21155439484127E-4	-0.0074471293496874424	-0.007484852539881021
2.500000E-5	0.001007	0.001776	33.633308148002946	0.000417	0.000375	4.2137527657527655E-4	3.793741468253968E-4	-0.007385910585858678	-0.007426633832539752
2.625000E-5	0.001144	0.001831	38.176212148002946	0.000481	0.000433	4.8559404040404036E-4	4.375928541666667E-4	-0.007321691822029915	-0.0073684151251984815
2.750000E-5	0.001221	0.001984	40.700047148002945	0.000550	0.000499	5.548128042328043E-4	5.038115615079365E-4	-0.00725247305820115	-0.007302196417857212
2.875000E-5	0.001389	0.002167	46.25248514800295	0.000625	0.000567	6.30031568061568E-4	5.720302688492064E-4	-0.007177254294372387	-0.007233977710515942
3.000000E-5	0.001511	0.002295	50.29062114800295	0.000704	0.000641	7.092503318903319E-4	6.462489761904762E-4	-0.007098035530543623	-0.007159759003174672
3.125000E-5	0.001648	0.002429	54.83352514800295	0.000789	0.000720	7.944690957190957E-4	7.254676835317461E-4	-0.007012816766714859	-0.007080540295833402
3.250000E-5	0.001709	0.002582	56.852593148002946	0.000878	0.000807	8.836878595478595E-4	8.126863908730159E-4	-0.0069235980028860954	-0.006993321588492132
3.375000E-5	0.001846	0.002679	61.39549614800295	0.000971	0.000894	9.769066233766234E-4	8.999050982142858E-4	-0.006830379239057331	-0.006906102881150862
3.500000E-5	0.002060	0.002808	68.46223514800295	0.001069	0.000983	0.0010751253872053872	9.891238055555556E-4	-0.0067321604752285675	-0.006816884173809592
3.625000E-5	0.002228	0.003027	74.01467314800294	0.001173	0.001080	0.001179344151034151	0.0010863425128968254	-0.006627941711399804	-0.006719665466468323
3.750000E-5	0.002258	0.003082	75.02420714800294	0.001280	0.001186	0.001286562914862915	0.0011925612202380953	-0.0065207229475710395	-0.006613446759127053
3.875000E-5	0.002426	0.003204	80.57664414800294	0.001391	0.001290	0.0013977816786916789	0.001296779927579365	-0.006409504183742276	-0.006509228051785783
4.000000E-5	0.002640	0.003369	87.64338314800295	0.001508	0.001398	0.0015150004425204425	0.001404998634920635	-0.006292285419913512	-0.006401009344444514
4.125000E-5	0.002716	0.003540	90.16721814800295	0.001630	0.001517	0.0016372192063492063	0.0015242173422619046	-0.006170066656084748	-0.006281790637103244
4.250000E-5	0.002838	0.003662	94.20535514800295	0.001757	0.001639	0.0017644379701779703	0.0016464360496031747	-0.006042847892255985	-0.006159571929761973
4.375000E-5	0.003036	0.003760	100.76732614800295	0.001888	0.001761	0.001895656734006734	0.0017686547569444443	-0.005911629128427221	-0.006037353222420704
4.500000E-5	0.003174	0.003900	105.31023014800294	0.002023	0.001891	0.0020308754978354978	0.0018988734642857144	-0.0057764103645984565	-0.005907134515079434
4.625000E-5	0.003281	0.004028	108.84359914800295	0.002162	0.002026	0.0021700942616642615	0.0020340921716269843	-0.005637191600769693	-0.0057719158077381635
4.750000E-5	0.003418	0.004108	113.38650314800294	0.002305	0.002163	0.0023133130254930257	0.002171310878968254	-0.0054939728369409295	-0.005634697100396894
4.875000E-5	0.003586	0.004242	118.93894014800294	0.002452	0.002303	0.0024605317893217895	0.0023115295863095236	-0.005346754073112165	-0.005494478393055625
5.000000E-5	0.003723	0.004401	123.48184414800295	0.002604	0.002449	0.002612750553150553	0.0024577482936507934	-0.005194535309283401	-0.005348259685714354
5.125000E-5	0.003830	0.004456	127.01521314800294	0.002759	0.002600	0.0027679693169793173	0.0026089670009920634	-0.0050393165454546375	-0.005197040978373085
5.250000E-5	0.004059	0.004584	134.58671914800294	0.002918	0.002749	0.002927188080808081	0.0027581857083333336	-0.004880097781625873	-0.005047822271031815
5.375000E-5	0.004211	0.004742	139.63438914800295	0.003082	0.002907	0.003091406844636845	0.002916404415674603	-0.00471587901779711	-0.004889603563690545
