
 
---------- Probe ---------
 
N1 = 76.0
N2 = 48.0
A = 9.2E-7
LM = 0.02167
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.130000
f = 200.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:42
 
---------- Misc ----------
 
Hc = 3846.1617191244695 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
5.375000E-5	0.008026	0.010864	279.53216483658167	0.006194	0.005844	0.006175241162054861	0.005825237576997113	-0.02886770011691526	-0.029217670437439766
5.500000E-5	0.008347	0.011127	290.6442828365817	0.006508	0.006145	0.006488804910009625	0.0061258012415784414	-0.028554136368960495	-0.02891710677285844
5.625000E-5	0.008621	0.011340	300.1689558365817	0.006829	0.006454	0.006809368657964388	0.0064343649061597685	-0.02823357262100573	-0.02860854310827711
5.750000E-5	0.008911	0.011554	310.22277683658166	0.007157	0.006768	0.007136932405919153	0.006747928570741097	-0.027906008873050968	-0.028294979443695783
5.875000E-5	0.009171	0.011774	319.21830183658165	0.007490	0.007090	0.007469496153873917	0.007069492235322426	-0.027573445125096203	-0.027973415779114455
6.000000E-5	0.009445	0.012036	328.74297483658165	0.007830	0.007419	0.007809059901828681	0.007398055899903754	-0.027233881377141438	-0.027644852114533127
6.125000E-5	0.009750	0.012256	339.32594483658164	0.008177	0.007752	0.008155623649783447	0.007730619564485082	-0.026887317629186672	-0.0273122884499518
6.250000E-5	0.010025	0.012439	348.85061783658165	0.008529	0.008093	0.00850718739773821	0.008071183229066409	-0.02653575388123191	-0.026971724785370473
6.375000E-5	0.010300	0.012659	358.37529083658166	0.008888	0.008439	0.008865751145692973	0.008416746893647738	-0.026177190133277146	-0.02662616112078914
6.500000E-5	0.010605	0.012964	368.95825983658165	0.009254	0.008792	0.009231314893647738	0.008769310558229066	-0.025811626385322382	-0.026273597456207814
6.625000E-5	0.010956	0.013123	381.1286758365817	0.009626	0.009149	0.0096028786416025	0.009125874222810394	-0.025440062637367616	-0.025917033791626486
6.750000E-5	0.011200	0.013336	389.59505183658166	0.010004	0.009516	0.009980442389557267	0.009492437887391724	-0.02506249888941285	-0.025550470127045158
6.875000E-5	0.011444	0.013623	398.0614278365817	0.010389	0.009890	0.01036500613751203	0.00986600155197305	-0.024677935141458086	-0.02517690646246383
7.000000E-5	0.011765	0.013812	409.1735458365817	0.010780	0.010267	0.010755569885466795	0.010242565216554379	-0.024287371393503322	-0.0248003427978825
7.125000E-5	0.012039	0.013965	418.69821883658165	0.011176	0.010651	0.011151133633421559	0.010626128881135708	-0.02389180764554856	-0.024416779133301172
7.250000E-5	0.012314	0.014233	428.22289183658165	0.011579	0.011042	0.011553697381376325	0.011016692545717036	-0.023489243897593794	-0.024026215468719844
7.375000E-5	0.012619	0.014490	438.80586183658164	0.011989	0.011439	0.011963261129331087	0.011413256210298364	-0.023079680149639032	-0.023629651804138514
7.500000E-5	0.012894	0.014703	448.33053483658165	0.012404	0.011843	0.012377824877285852	0.01181681987487969	-0.022665116401684268	-0.02322608813955719
7.625000E-5	0.013229	0.014844	459.9718018365817	0.012825	0.012249	0.012798388625240615	0.012222383539461019	-0.022244552653729502	-0.02282052447497586
7.750000E-5	0.013458	0.015143	467.9090288365817	0.013253	0.012667	0.01322595237319538	0.012639947204042348	-0.02181698890577474	-0.022402960810394532
7.875000E-5	0.013779	0.015332	479.0211478365817	0.013687	0.013087	0.013659516121150144	0.013059510868623676	-0.021383425157819977	-0.021983397145813204
8.000000E-5	0.014053	0.015491	488.54581983658164	0.014126	0.013514	0.014098079869104907	0.013486074533205005	-0.020944861409865213	-0.021556833481231875
8.125000E-5	0.014343	0.015759	498.59964183658167	0.014572	0.013947	0.014543643617059673	0.013918638197786333	-0.020499297661910446	-0.021124269816650547
8.250000E-5	0.014587	0.015997	507.0660178365817	0.015025	0.014389	0.014996207365014436	0.014360201862367661	-0.020046733913955683	-0.02068270615206922
8.375000E-5	0.014908	0.016235	518.1781358365816	0.015485	0.014835	0.015455771112969202	0.014805765526948988	-0.019587170166000915	-0.02023714248748789
8.500000E-5	0.015228	0.016473	529.2902548365817	0.015951	0.015287	0.015921334860923966	0.015257329191530318	-0.019121606418046153	-0.01978557882290656
8.625000E-5	0.015533	0.016669	539.8732248365817	0.016423	0.015746	0.016392898608878728	0.015715892856111646	-0.01865004267009139	-0.019327015158325234
8.750000E-5	0.015793	0.016870	548.8687488365816	0.016900	0.016212	0.01686946235683349	0.016181456520692975	-0.018173478922136627	-0.018861451493743905
8.875000E-5	0.016068	0.017126	558.3934218365816	0.017385	0.016685	0.01735402610478826	0.0166540201852743	-0.01768891517418186	-0.01838888782916258
9.000000E-5	0.016388	0.017365	569.5055398365816	0.017876	0.017162	0.017844589852743023	0.01713058384985563	-0.017198351426227096	-0.017912324164581248
9.125000E-5	0.016632	0.017560	577.9719158365816	0.018374	0.017649	0.018342153600697787	0.01761714751443696	-0.016700787678272332	-0.01742576049999992
9.250000E-5	0.016937	0.017847	588.5548858365817	0.018879	0.018140	0.01884671734865255	0.01810771117901829	-0.01619622393031757	-0.01693519683541859
9.375000E-5	0.017258	0.018018	599.6670048365817	0.019389	0.018637	0.019356281096607315	0.018604274843599614	-0.015686660182362804	-0.016438633170837266
9.500000E-5	0.017502	0.018323	608.1333798365816	0.019907	0.019145	0.01987384484456208	0.01911183850818094	-0.015169096434408037	-0.01593106950625594
9.625000E-5	0.017792	0.018500	618.1872018365817	0.020431	0.019656	0.020397408592516843	0.01962240217276227	-0.014645532686453275	-0.01542050584167461
9.750000E-5	0.018097	0.018787	628.7701718365817	0.020963	0.020175	0.020928972340471606	0.020140965837343597	-0.014113968938498513	-0.014901942177093282
9.875000E-5	0.018356	0.019073	637.7656958365817	0.021503	0.020703	0.021468536088426374	0.020668529501924927	-0.013574405190543745	-0.014374378512511953
1.000000E-4	0.018677	0.019293	648.8778148365817	0.022049	0.021235	0.022014099836381133	0.021200093166506256	-0.013028841442588986	-0.013842814847930623
0.000101	0.018906	0.019543	656.8150418365817	0.022602	0.021779	0.022566750834744947	0.021743744098171317	-0.012476190444225172	-0.013299163916265563
0.000102	0.019257	0.019836	668.9854568365816	0.023163	0.022324	0.023127401833108758	0.022288395029836382	-0.011915539445861361	-0.012754512984600497
0.000104	0.019531	0.020038	678.5101298365817	0.023731	0.022880	0.02369470382983638	0.022843696893166506	-0.011348237449133738	-0.012199211121270374
0.000105	0.019836	0.020325	689.0930998365817	0.024306	0.023442	0.024269354828200192	0.02340534782483157	-0.010773586450769927	-0.011637560189605309
0.000106	0.020172	0.020605	700.7343668365817	0.024890	0.024011	0.024853005826564002	0.023973998756496633	-0.010189935452406117	-0.011068909257940247
0.000107	0.020462	0.020898	710.7881888365816	0.025481	0.024589	0.025443656824927816	0.024551649688161693	-0.009599284454042303	-0.010491258326275187
0.000109	0.020660	0.021124	717.6671188365817	0.026080	0.025179	0.026041958821655435	0.02514095155149182	-0.009000982457314684	-0.00990195646294506
0.000110	0.020996	0.021503	729.3083858365817	0.026688	0.025773	0.026649609820019248	0.02573460248315688	-0.00839333145895087	-0.009308305531279999
0.000111	0.021286	0.021790	739.3622068365817	0.027305	0.026377	0.02726626081838306	0.026338253414821947	-0.007776680460587059	-0.008704654599614933
0.000112	0.021545	0.022101	748.3577318365817	0.027930	0.026991	0.027890911816746872	0.026951904346487008	-0.0071520294622232465	-0.008091003667949872
0.000114	0.021881	0.022412	759.9989988365817	0.028564	0.027611	0.028524213813474492	0.027571206209817133	-0.006518727465495627	-0.0074717018046197466
0.000115	0.022141	0.022681	768.9945228365817	0.029207	0.028242	0.029166864811838306	0.028201857141482194	-0.005876076467131813	-0.0068410508729546855
0.000116	0.022446	0.023029	779.5774928365817	0.029858	0.028880	0.029817515810202116	0.028839508073147255	-0.005225425468768002	-0.0062033999412896244
0.000117	0.022659	0.023315	786.9855718365817	0.030519	0.029531	0.03047816680856593	0.029490159004812323	-0.004564774470404188	-0.005552749009624557
0.000119	0.023010	0.023657	799.1559868365816	0.031188	0.030185	0.03114646880529355	0.030143460868142444	-0.0038964724736765682	-0.004899447146294436
0.000120	0.023331	0.023962	810.2681058365816	0.031866	0.030850	0.03182411980365736	0.030808111799807508	-0.003218821475312758	-0.004234796214629372
0.000121	0.023544	0.024261	817.6761848365817	0.032554	0.031528	0.032511770802021174	0.03148576273147257	-0.002531170476948945	-0.0035571452829643094
0.000122	0.023849	0.024652	828.2591548365816	0.033251	0.032212	0.03320842180038499	0.03216941366313763	-0.0018345194785851296	-0.002873494351299251
