
 
---------- Probe ---------
 
N1 = 76.0
N2 = 48.0
A = 9.2E-7
LM = 0.02167
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.130000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:41
 
---------- Misc ----------
 
Hc = 3389.897654961142 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000122	4.272461E-5	-3.167853737014939	2.274767E-6	7.594348E-6	1.7431976618959074E-6	7.064504754093735E-6	-0.0319072963177711	-0.03191080523891963
2.500000E-6	-0.000122	2.441406E-5	-3.167853737014939	2.937040E-6	8.256621E-6	1.8739013237918147E-6	7.196934508187471E-6	-0.03190716561410921	-0.031910672809165534
3.750000E-6	-0.000122	0.000000	-3.167853737014939	3.743287E-6	9.062868E-6	2.1485789856877225E-6	7.473338262281205E-6	-0.031906890936447316	-0.03191039640541144
5.000000E-6	-9.155273E-5	0.000146	-2.109556737014939	7.141040E-6	1.113073E-5	5.01476264758363E-6	9.011357016374941E-6	-0.03190402475278542	-0.03190885838665734
6.250000E-6	-0.000153	0.000134	-4.2261507370149385	1.143142E-5	1.808090E-5	8.773573309479536E-6	1.5431683770468677E-5	-0.03190026594212352	-0.031902438059903254
7.500000E-6	-7.629395E-5	0.000226	-1.5804077370149385	1.819813E-5	2.152287E-5	1.5008713971375446E-5	1.834381052456241E-5	-0.03189403080146163	-0.03189952593314916
8.750000E-6	-4.577637E-5	0.000397	-0.5221107370149387	2.962956E-5	3.162440E-5	2.5908574633271352E-5	2.7915497278656146E-5	-0.03188313094079973	-0.03188995424639506
1.000000E-5	3.051758E-5	0.000610	2.1236312629850613	4.658952E-5	4.525963E-5	4.233696529516726E-5	4.102088403274988E-5	-0.031866702550137835	-0.03187684885964097
1.125000E-5	4.577637E-5	0.000757	2.652779262985061	6.864612E-5	6.665128E-5	6.386199595706316E-5	6.188269078684362E-5	-0.03184517751947594	-0.03185598705288688
1.250000E-5	0.000153	0.001038	6.356819262985061	9.767099E-5	9.102152E-5	9.235529661895908E-5	8.572308754093735E-5	-0.03181668421881404	-0.031832146656132786
1.375000E-5	0.000259	0.001245	10.060858262985061	0.000133	0.000121	1.27152737280855E-4	1.1517172429503108E-4	-0.03178188677815215	-0.03180269801937869
1.500000E-5	0.000336	0.001410	12.70660126298506	0.000174	0.000159	1.676211679427509E-4	1.5264188104912482E-4	-0.03174141834749025	-0.0317652278626246
1.625000E-5	0.000534	0.001764	19.58553126298506	0.000223	0.000199	2.160895986046468E-4	1.9211203780321857E-4	-0.031692949916828354	-0.0317257577058705
1.750000E-5	0.000610	0.001959	22.23127426298506	0.000278	0.000252	2.705580292665427E-4	2.445821945573123E-4	-0.03163848148616646	-0.031673287549116406
