
 
---------- Probe ---------
 
N1 = 76.0
N2 = 48.0
A = 9.2E-7
LM = 0.02167
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.130000
f = 100.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:39
 
---------- Misc ----------
 
Hc = 2827.162776504119 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
1.250000E-6	-0.000168	9.155273E-5	-3.914508081919805	2.188383E-6	9.502807E-6	1.8398283463203494E-6	9.154178001683503E-6	-0.044853891271004385	-0.04484656235230139
2.500000E-6	-0.000137	-5.493164E-5	-2.856211081919805	1.670082E-6	7.654610E-6	9.72972692640699E-7	6.957352003367005E-6	-0.04485475812665806	-0.0448487591782997
3.750000E-6	-0.000137	1.831055E-5	-2.856211081919805	1.986821E-6	7.971350E-6	9.411570389610487E-7	6.925463005050506E-6	-0.04485478994231174	-0.04484879106729802
5.000000E-6	-0.000153	4.882813E-5	-3.3853600819198046	3.743287E-6	1.039276E-5	2.349068385281398E-6	8.99824400673401E-6	-0.04485338203096542	-0.044846718286296335
6.250000E-6	-0.000122	0.000159	-2.327063081919805	7.832108E-6	1.315169E-5	6.089334731601747E-6	1.1408545008417513E-5	-0.0448496417646191	-0.04484430798529465
7.500000E-6	-0.000168	0.000183	-3.914508081919805	1.359101E-5	2.090543E-5	1.1499682077922096E-5	1.8813656010101016E-5	-0.044844231417272784	-0.04483690287429297
8.750000E-6	-6.103516E-5	0.000330	-0.21046908191980496	2.269008E-5	2.534987E-5	2.0250197424242445E-5	2.2909467011784516E-5	-0.04483548090192646	-0.044832807063291284
1.000000E-5	-6.103516E-5	0.000427	-0.21046908191980496	3.484136E-5	3.750115E-5	3.205292277056279E-5	3.471211801346802E-5	-0.04482367817658014	-0.0448210044122896
1.125000E-5	3.051758E-5	0.000537	2.964421918080195	5.030402E-5	4.897412E-5	4.716702811688315E-5	4.583645901515152E-5	-0.04480856407123382	-0.044809880071287916
1.250000E-5	7.629395E-5	0.000702	4.551866918080195	7.040259E-5	6.707785E-5	6.691704346320349E-5	6.359156001683502E-5	-0.0447888140558875	-0.044792124970286236
1.375000E-5	0.000168	0.000916	7.726757918080195	9.565538E-5	8.834095E-5	9.182127880952385E-5	8.450603101851852E-5	-0.04476390982054118	-0.04477121049928455
1.500000E-5	0.000259	0.000989	10.901648918080195	0.000124	0.000113	1.198173441558442E-4	1.0881645202020203E-4	-0.04473591375519486	-0.044746900078282865
1.625000E-5	0.000290	0.001160	11.959945918080194	0.000157	0.000144	1.5246878950216455E-4	1.3946782302188553E-4	-0.044703262309848536	-0.044716248707281185
1.750000E-5	0.000412	0.001318	16.193133918080193	0.000194	0.000176	1.891202348484849E-4	1.7111919402356903E-4	-0.04466661086450222	-0.0446845973362795
1.875000E-5	0.000412	0.001489	16.193133918080193	0.000237	0.000219	2.3177168019480524E-4	2.1377056502525256E-4	-0.0446239594191559	-0.04464194596527782
2.000000E-5	0.000504	0.001697	19.368024918080195	0.000285	0.000263	2.7942312554112556E-4	2.5742193602693606E-4	-0.04457630797380958	-0.04459829459427613
