
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 100.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:10
 
---------- Misc ----------
 
Hc = 750.0382884612526 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000000	-9.155273E-5	-0.000122	-2.4978936630094872	-1.730358E-6	1.362308E-6	-1.730358E-6	1.362308E-6	-0.06262222721592081	-0.06261898252377902
1.250000E-6	-9.155273E-5	-0.000153	-2.4978936630094872	-4.119899E-6	-1.027234E-6	-1.831575412259609E-6	1.2611433137019326E-6	-0.06262232843333307	-0.06261908368846533
2.500000E-6	-3.051758E-5	-0.000153	-0.8571836630094871	-6.344645E-6	-5.313757E-6	-1.767997824519218E-6	-7.370023725961346E-7	-0.06262226485574533	-0.06262108183415163
3.750000E-6	-0.000122	-6.103516E-5	-3.318248663009487	-7.745411E-6	-3.621857E-6	-8.804402367788272E-7	3.2432749411057974E-6	-0.06262137729815759	-0.06261710155683792
5.000000E-6	-9.155273E-5	-0.000122	-2.4978936630094872	-9.393371E-6	-6.300705E-6	-2.4007664903843574E-7	2.85280425480773E-6	-0.06262073693456985	-0.06261749202752422
6.250000E-6	-9.155273E-5	-6.103516E-5	-2.4978936630094872	-1.062934E-5	-7.536675E-6	8.122779387019557E-7	3.905211568509662E-6	-0.06261968457998211	-0.06261643962021052
7.500000E-6	-0.000122	-9.155273E-5	-3.318248663009487	-1.186531E-5	-7.741757E-6	1.8646315264423461E-6	5.9885068822115944E-6	-0.06261863222639437	-0.06261435632489681
8.750000E-6	-7.629395E-5	-3.051758E-5	-2.087715663009487	-1.219490E-5	-9.617681E-6	3.823365114182734E-6	6.400960195913524E-6	-0.06261667349280663	-0.06261394387158312
1.000000E-5	-6.103516E-5	9.155273E-5	-1.677538663009487	-1.095893E-5	-8.897156E-6	7.347658701923128E-6	9.40986250961546E-6	-0.0626131491992189	-0.06261093496926941
1.125000E-5	-7.629395E-5	0.000122	-2.087715663009487	-8.486993E-6	-5.909772E-6	1.2107919289663521E-5	1.4685623823317394E-5	-0.06260838893863115	-0.06260565920795572
