
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 200.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:14
 
---------- Misc ----------
 
Hc = 1059.1017679292463 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
0.000000	-0.000168	-0.000153	-3.388789943504597	-2.059950E-6	3.609937E-6	-2.05995E-6	3.609937E-6	-0.07297883580384631	-0.07297117481194237
1.250000E-6	-0.000107	-0.000153	-1.7480799435045973	-4.531889E-6	-9.237799E-7	-2.1467024615384504E-6	1.4612967826923125E-6	-0.07297892255630786	-0.07297332345215968
2.500000E-6	1.525879E-5	-0.000153	1.5333390564954028	-7.003829E-6	-7.519273E-6	-2.2334559230769015E-6	-2.749119634615375E-6	-0.0729790093097694	-0.07297753386857699
3.750000E-6	-9.155273E-5	-0.000153	-1.3379029435045973	-9.393371E-6	-6.300705E-6	-2.2378113846153523E-6	8.545250480769363E-7	-0.07297901366523094	-0.07297393022389428
5.000000E-6	-0.000122	-0.000122	-2.158257943504597	-1.145332E-5	-7.329767E-6	-1.9125738461538037E-6	2.2105397307692492E-6	-0.07297868842769248	-0.0729725742092116
6.250000E-6	-3.051758E-5	-0.000122	0.30280705649540285	-1.326608E-5	-1.223519E-5	-1.3401473076922545E-6	-3.0980658653844015E-7	-0.07297811600115402	-0.0729750945555289
7.500000E-6	-9.155273E-5	-6.103516E-5	-1.3379029435045973	-1.400766E-5	-1.091499E-5	3.0345923076929423E-7	3.395470096153872E-6	-0.07297647239461555	-0.07297138927884621
8.750000E-6	-0.000137	9.155273E-5	-2.568434943504597	-1.244210E-5	-7.803098E-6	4.254205769230841E-6	8.892438778846184E-6	-0.07297252164807709	-0.07296589231016352
1.000000E-5	-4.577637E-5	0.000275	-0.10736994350459717	-8.157401E-6	-6.611068E-6	1.0924091307692394E-5	1.2469545461538498E-5	-0.07296585176253863	-0.07296231520348083
1.125000E-5	-7.629395E-5	0.000397	-0.9277249435045971	-1.235970E-6	1.341251E-6	2.0230708846153942E-5	2.2806941144230807E-5	-0.07295654514500016	-0.07295197780779814
1.250000E-5	-9.155273E-5	0.000702	-1.3379029435045973	1.046454E-5	1.355721E-5	3.431640538461549E-5	3.740797682692312E-5	-0.0729424594484617	-0.07293737677211544
1.375000E-5	-7.629395E-5	0.001129	-0.9277249435045971	2.875690E-5	3.133412E-5	5.499395192307704E-5	5.7569963509615426E-5	-0.07292178190192325	-0.07291721478543275
1.500000E-5	3.051758E-5	0.001556	1.9435170564954027	5.430027E-5	5.326939E-5	8.292250846153858E-5	8.189031019230774E-5	-0.07289385334538478	-0.07289289443875006
1.625000E-5	-7.629395E-5	0.002106	-0.9277249435045971	8.882503E-5	9.140225E-5	1.1983245500000013E-4	1.2240824687500005E-4	-0.07285694339884632	-0.07285237650206737
1.750000E-5	-6.103516E-5	0.002808	-0.5175479435045971	0.000134	0.000137	1.6739261153846167E-4	1.7039107355769237E-4	-0.07280938324230786	-0.07280439367538467
1.875000E-5	6.103516E-5	0.003571	2.7638720564954027	0.000193	0.000191	2.2877779807692323E-4	2.2677615024038468E-4	-0.0727479980557694	-0.07274800859870198
2.000000E-5	4.577637E-5	0.004425	2.353694056495403	0.000264	0.000263	3.021629846153848E-4	3.01161226923077E-4	-0.07267461286923094	-0.0726736235220193
2.125000E-5	3.051758E-5	0.005371	1.9435170564954027	0.000352	0.000351	3.9254817115384635E-4	3.915463036057693E-4	-0.07258422768269247	-0.0725832384453366
2.250000E-5	0.000153	0.006592	5.224937056495403	0.000459	0.000454	5.019333576923078E-4	4.969313802884616E-4	-0.07247484249615402	-0.07247785336865391
2.375000E-5	0.000153	0.007843	5.224937056495403	0.000587	0.000582	6.323185442307694E-4	6.27316456971154E-4	-0.07234445730961556	-0.07234746829197121
2.500000E-5	0.000107	0.009277	3.994404056495403	0.000738	0.000734	7.85703730769231E-4	7.817015336538461E-4	-0.07219107212307709	-0.07219308321528851
2.625000E-5	0.000214	0.010925	6.865647056495403	0.000915	0.000907	9.650889173076925E-4	9.570866103365386E-4	-0.07201168693653863	-0.07201769813860583
2.750000E-5	0.000275	0.012573	8.506356056495402	0.001119	0.001109	0.0011714741038461542	0.0011614716870192309	-0.07180530175000016	-0.07181331306192314
2.875000E-5	0.000229	0.014404	7.275824056495403	0.001353	0.001345	0.0014078592903846157	0.0013998567637019232	-0.0715689165634617	-0.07157492798524044
3.000000E-5	0.000336	0.016418	10.147066056495403	0.001619	0.001608	0.0016762444769230771	0.0016652418403846154	-0.07130053137692324	-0.07130954290855775
3.125000E-5	0.000458	0.018646	13.428486056495403	0.001921	0.001906	0.0019806296634615386	0.0019656269170673078	-0.07099614619038479	-0.07100915783187506
3.250000E-5	0.000412	0.020844	12.197954056495403	0.002260	0.002246	0.00232201485	0.0023080119937500003	-0.07065476100384632	-0.07066677275519237
3.375000E-5	0.000519	0.023346	15.069196056495402	0.002638	0.002621	0.002702400036538462	0.0026853970704326926	-0.07027437581730786	-0.07028938767850967
3.500000E-5	0.000595	0.026001	17.120083056495403	0.003059	0.003039	0.0031257852230769235	0.0031057821471153846	-0.0698509906307694	-0.06986900260182698
3.625000E-5	0.000656	0.028656	18.7607930564954	0.003524	0.003502	0.0035931704096153847	0.003571167223798077	-0.06938360544423093	-0.06940361752514429
3.750000E-5	0.000748	0.031616	21.221858056495403	0.004037	0.004012	0.004108555596153847	0.0040835523004807694	-0.06886822025769247	-0.0688912324484616
3.875000E-5	0.000916	0.034698	25.733810056495404	0.004599	0.004568	0.004672940782692308	0.0046419373771634615	-0.068303835071154	-0.0683328473717789
4.000000E-5	0.000916	0.037872	25.733810056495404	0.005213	0.005182	0.0052893259692307695	0.005258322453846154	-0.06768744988461556	-0.06771646229509622
4.125000E-5	0.000931	0.041199	26.143988056495402	0.005881	0.005850	0.005959711155769231	0.005928707530528847	-0.06701706469807708	-0.06704607721841352
4.250000E-5	0.001114	0.044617	31.066117056495404	0.006604	0.006567	0.006685096342307692	0.006648092607211538	-0.06629167951153862	-0.06632669214173083
4.375000E-5	0.001282	0.048248	35.5780690564954	0.007387	0.007343	0.0074704815288461545	0.00742647768389423	-0.06550629432500017	-0.06554830706504813
4.500000E-5	0.001175	0.052094	32.7068270564954	0.008231	0.008191	0.008316866715384617	0.008276862760576924	-0.0646599091384617	-0.06469792198836544
4.625000E-5	0.001389	0.056152	38.4493120564954	0.009141	0.009094	0.009229251901923077	0.009182247837259615	-0.06374752395192325	-0.06379253691168275
4.750000E-5	0.001633	0.060272	45.012151056495405	0.010118	0.010062	0.01020863708846154	0.010152632913942307	-0.06276813876538478	-0.06282215183500006
4.875000E-5	0.001617	0.064514	44.6019740564954	0.011163	0.011109	0.011256022275	0.011202017990625	-0.06172075357884632	-0.06177276675831737
5.000000E-5	0.001617	0.068939	44.6019740564954	0.012281	0.012226	0.012376407461538463	0.012321403067307694	-0.060600368392307855	-0.06065338168163467
5.125000E-5	0.001907	0.073700	52.395346056495406	0.013475	0.013411	0.013572792648076924	0.013508788143990385	-0.059403983205769395	-0.059465996604951984
5.250000E-5	0.002014	0.078491	55.2665880564954	0.014748	0.014680	0.014848177834615386	0.014780173220673078	-0.05812859801923093	-0.05819461152826929
5.375000E-5	0.002151	0.083649	58.9581850564954	0.016103	0.016030	0.016205563021153845	0.01613255829735577	-0.05677121283269247	-0.0568422264515866
5.500000E-5	0.002213	0.088837	60.5988950564954	0.017543	0.017468	0.017647948207692308	0.017572943374038464	-0.055328827646154016	-0.05540184137490391
5.625000E-5	0.002396	0.094330	65.5210250564954	0.019071	0.018991	0.019178333394230772	0.019098328450721156	-0.05379844245961555	-0.053876456298221215
5.750000E-5	0.002518	0.100006	68.8024450564954	0.020692	0.020607	0.020801718580769228	0.020716713527403847	-0.05217505727307709	-0.05225807122153852
5.875000E-5	0.002594	0.105774	70.8533320564954	0.022406	0.022319	0.02251810376730769	0.022431098604086538	-0.05045867208653863	-0.050543686144855826
6.000000E-5	0.002838	0.111969	77.4161710564954	0.024220	0.024125	0.024334488953846153	0.024239483680769232	-0.048642286900000165	-0.048735301068173136
6.125000E-5	0.002945	0.118195	80.28741405649541	0.026136	0.026036	0.026252874140384616	0.026152868757451923	-0.046723901713461705	-0.046821915991490444
6.250000E-5	0.003006	0.124664	81.9281240564954	0.028156	0.028055	0.02827525932692308	0.028174253834134615	-0.04470151652692324	-0.04480053091480775
6.375000E-5	0.003296	0.131409	89.7214960564954	0.030285	0.030174	0.030406644513461537	0.030295638910817307	-0.04257013134038479	-0.04267914583812506
6.500000E-5	0.003403	0.138245	92.5927380564954	0.032526	0.032411	0.0326500297	0.0325350239875	-0.04032674615384632	-0.040439760761442366
6.625000E-5	0.003510	0.145538	95.4639800564954	0.034884	0.034766	0.03501041488653846	0.03489240906418269	-0.03796636096730786	-0.038082375684759674
6.750000E-5	0.003738	0.153015	101.61664205649541	0.037364	0.037238	0.037492800073076926	0.037366794140865384	-0.035483975780769395	-0.035607990608076984
6.875000E-5	0.003952	0.160736	107.3591270564954	0.039969	0.039835	0.04010018525961538	0.03996617921754808	-0.03287659059423094	-0.033008605531394286
7.000000E-5	0.003998	0.168762	108.5896590564954	0.042703	0.042568	0.04283657044615385	0.04270156429423077	-0.030140205407692473	-0.030273220454711598
7.125000E-5	0.004227	0.177094	114.7423210564954	0.045573	0.045430	0.04570895563269231	0.04556594937091346	-0.02726782022115401	-0.027408835378028906
7.250000E-5	0.004364	0.185486	118.4339180564954	0.048578	0.048430	0.04871634081923077	0.04856833444759615	-0.02426043503461555	-0.024406450301346215
7.375000E-5	0.004578	0.193939	124.1764030564954	0.051720	0.051566	0.051860726005769235	0.05170671952427885	-0.021116049848077086	-0.02126806522466352
7.500000E-5	0.004669	0.202667	126.63746805649541	0.055004	0.054846	0.05514711119230769	0.054989104600961534	-0.01782966466153863	-0.017985680147980833
7.625000E-5	0.004898	0.211609	132.7901300564954	0.058432	0.058266	0.058577496378846156	0.05841148967764423	-0.014399279475000165	-0.014563295071298138
7.750000E-5	0.005066	0.220490	137.3020820564954	0.062005	0.061834	0.062152881565384614	0.06198187475432693	-0.010823894288461706	-0.01099290999461544
7.875000E-5	0.005219	0.229767	141.4038570564954	0.065727	0.065551	0.06587726675192307	0.06570125983100962	-0.0070995091019232515	-0.007273524917932747
8.000000E-5	0.005386	0.239075	145.9158090564954	0.069601	0.069419	0.06975365193846153	0.0695716449076923	-0.00322312391538479	-0.003403139841250069
8.125000E-5	0.005615	0.248749	152.0684710564954	0.073630	0.073440	0.07378503712500001	0.073595029984375	8.082612711536874E-4	6.202452354326371E-4
8.250000E-5	0.005768	0.258118	156.17024605649542	0.077812	0.077617	0.07796942231153847	0.0777744150610577	0.004992646457692151	0.004799630312115333
8.375000E-5	0.005981	0.267517	161.9127300564954	0.082147	0.081945	0.08230680749807692	0.0821048001377404	0.009330031644230602	0.009130015388798027
8.500000E-5	0.006256	0.277283	169.2959250564954	0.086638	0.086427	0.08680019268461539	0.08658918521442308	0.01382341683076907	0.013614400465480708
8.625000E-5	0.006424	0.286774	173.8078770564954	0.091284	0.091067	0.09144857787115385	0.09123157029110576	0.018471802017307526	0.018256785542163395
8.750000E-5	0.006592	0.296356	178.3198290564954	0.096084	0.095862	0.09625096305769232	0.09602895536778847	0.023274187203845997	0.023054170618846098
8.875000E-5	0.006912	0.305756	186.9335560564954	0.101037	0.100804	0.10120634824423078	0.10097334044447116	0.028229572390384455	0.027998555695528796
9.000000E-5	0.006989	0.314941	188.9844430564954	0.106139	0.105903	0.10631073343076923	0.10607472552115384	0.03333395757692291	0.03309994077221147
9.125000E-5	0.007233	0.324005	195.54728305649542	0.111388	0.111144	0.11156211861730769	0.11131811059783654	0.03858534276346137	0.038343325848894175
