
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
3.875000E-5	0.000580	0.025085	16.065277756466106	0.003300	0.003281	0.003371128515363685	0.0033521314461948154	-0.0664096943427608	-0.06642736160424992
4.000000E-5	0.000732	0.027405	20.167052756466106	0.003745	0.003720	0.003818422983601223	0.0037934260089752935	-0.06596239987452326	-0.06598606704146943
4.125000E-5	0.000717	0.029816	19.756874756466107	0.004228	0.004204	0.004303717451838761	0.004279720571755771	-0.06547710540628572	-0.06549977247868896
4.250000E-5	0.000702	0.032318	19.346697756466106	0.004752	0.004728	0.0048300119200763	0.00480601513453625	-0.06495081093804818	-0.06497347791590848
4.375000E-5	0.000916	0.035004	25.089181756466107	0.005319	0.005288	0.005399306388313838	0.005368309697316727	-0.06438151646981065	-0.06441118335312801
4.500000E-5	0.000992	0.037781	27.140069756466108	0.005931	0.005898	0.006013600856551376	0.005980604260097205	-0.0637672220015731	-0.06379888879034752
4.625000E-5	0.000992	0.040588	27.140069756466108	0.006589	0.006556	0.0066738953247889145	0.006640898822877683	-0.06310692753333556	-0.06313859422756704
4.750000E-5	0.001114	0.043518	30.421488756466108	0.007294	0.007257	0.0073811897930264525	0.007344193385658161	-0.06239963306509803	-0.062435299664786566
4.875000E-5	0.001221	0.046509	33.292731756466104	0.008048	0.008007	0.00813748426126399	0.00809648794843864	-0.06164333859686049	-0.06168300510200609
5.000000E-5	0.001358	0.049713	36.984328756466105	0.008854	0.008808	0.00894577872950153	0.008899782511219116	-0.06083504412862295	-0.06087971053922561
